formula     mp_id       data        prediction  
HoSiRu      mp-22497    0           0           1
HfCuSi      mp-22489    0           1           1
ThSe2       mp-7951     0           0           1
CsCdN       mp-1246389  -1          0           1
ZrPRh       mp-1101753  -1          0           1
HoAsSe      mp-1212091  -1          0           1
CaMgGe      mp-15641    0           0           1
HfFeP       mp-22434    -1          1           1
Yb2Si       mp-1207599  -1          0           1
TiSiNi      mp-510409   1           0           1
LiCaBi      mp-569501   1           0           1
ErGaRh      mp-1103035  -1          1           1
ZrO2        mp-754741   -1          0           1
DyTeAs      mp-1212803  -1          0           1
DySiPt      mp-20571    0           0           1
SrCaGe      mp-12418    0           0           1
ZrPOs       mp-1102976  -1          1           1
HgBrCl      mp-1224010  -1          0           1
PrBiRh      mp-1209679  -1          0           1
ReN2        mp-1102441  -1          0           1
YbSbPd      mp-20540    0           0           1
HoSbIr      mp-1212101  -1          0           1
LuZnRh      mp-1210650  -1          1           1
YNiSn       mp-22617    0           0           1
SmAsSe      mp-1208883  -1          0           1
ThP2        mp-1103645  -1          0           1
LaAsS       mp-1103471  -1          1           1
YGaRh       mp-1102458  -1          0           1
TbPPd       mp-1208300  -1          1           1
LuInRh      mp-11101    0           1           1
CoBMo       mp-21347    1           1           1
CuAsSe      mp-1102382  -1          0           1
BaNaN       mp-1245807  -1          0           1
NdNiGe      mp-1210049  -1          0           1
TaSiRh      mp-20436    1           0           1
SrI2        mp-568284   0           0           1
KNaS        mp-28383    0           0           1
TiGeIr      mp-1103158  -1          1           1
SbOF        mp-7609     0           0           1
MgPb2       mp-1210680  -1          0           1
NaCdSb      mp-13459    1           1           1
ScSiPt      mp-9225     0           1           1
DyZnRh      mp-13379    1           1           1
Er2Al       mp-1102875  -1          0           1
MgF2        mp-1102433  -1          0           1
AsRh2       mp-1102364  -1          0           1
BaCaSn      mp-11265    0           0           1
YGaCo       mp-1102926  -1          0           1
TbSiRh      mp-1239087  -1          0           1
Yb2Au       mp-570901   0           0           1
YbGePt      mp-22453    1           0           1
NdGaCo      mp-1103578  -1          0           1
PbICl       mp-23053    0           0           1
HfNiAs      mp-1212191  -1          1           1
PrGaCo      mp-1103498  -1          0           1
